embryo,angle
SU5402_6,261.027
SU5402_6,293.199
SU5402_6,344.745
SU5402_6,138.814
SU5402_6,105.945
SU5402_6,113.962
SU5402_6,185.44
SU5402_6,157.166
SU5402_6,202.38
SU5402_6,238.201
SU5402_6,280.305
SU5402_6,246.251
SU5402_6,271.878
SU5402_6,225
SU5402_6,232.001
SU5402_6,232.927
SU5402_6,198.435
SU5402_6,213.024
SU5402_6,273.366
SU5402_6,243.435
SU5402_6,207.474
SU5402_6,259.875
SU5402_6,263.089
SU5402_6,235.008
SU5402_6,244.983
SU5402_6,220.101
SU5402_6,205.201
SU5402_6,159.677
SU5402_6,155.556
SU5402_6,205.017
SU5402_6,247.751
SU5402_6,235.923
SU5402_6,227.353
SU5402_6,250.253
SU5402_6,149.265
SU5402_6,167.471
SU5402_6,202.087
SU5402_6,283.134
SU5402_6,220.486
SU5402_6,292.964
SU5402_6,80.218
SU5402_6,90
SU5402_6,357.337
SU5402_6,298.301
SU5402_6,301.608
SU5402_6,157.011
SU5402_6,145.125
SU5402_6,79.695
SU5402_6,79.695
SU5402_6,297.759
SU5402_6,238.627
SU5402_6,194.744
SU5402_6,198.435
SU5402_6,259.287
SU5402_6,291.251
SU5402_6,285.709
SU5402_6,255.964
SU5402_6,198.435
SU5402_6,190.539
SU5402_6,161.565
SU5402_6,125.838
SU5402_6,62.176
SU5402_6,33.996
SU5402_6,358.568
SU5402_6,6.52
SU5402_6,355.365
SU5402_6,164.055
SU5402_6,190.437
SU5402_6,173.991
SU5402_6,332.103
SU5402_6,61.113
SU5402_6,62.916
SU5402_6,47.045
SU5402_6,83.884
SU5402_6,74.055
SU5402_6,352.405
SU5402_6,90
SU5402_6,90
SU5402_6,180
SU5402_6,164.476
SU5402_6,148.523
SU5402_6,135.855
SU5402_6,80.538
SU5402_6,220.914
SU5402_6,220.601
SU5402_6,335.556
SU5402_6,289.29
SU5402_6,132.274
SU5402_6,131.987
SU5402_6,296.565
SU5402_6,317.291
SU5402_6,324.462
SU5402_6,4.97
