Time,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30
4,0.288,2.016,1.368,1.008,0.480096,0.756,-0.144,0.468,-0.144,0.432,-0.121875,1.015625,-0.1895725,0.040625,-0.4875,-1.259375,0.040625,0.528125,1.21875,0.771875,0.4952475,-0.66033,0.9354675,-0.47697837,-0.330165,0.330165,-0.1650825,0.66033,0.7153575,0.770385
5,0.864,1.152,0.936,0.72,0.671904,1.044,0.192096,0.9,0.768096,0.383904,0.24375,0.284375,0.89375,1.05625,-0.1625,0.934375,0.446875,0.8125,0.1625,0.24375,0.88044,0.770385,1.430715,-1.10055,0.2751375,0.4952475,0.7153575,0.9354675,0.66033,0.6053025
6,0.36,0.383904,0.72,0.576,1.152,1.008,1.152,0.324,0,-0.912096,1.259375,1.828125,0.1625,0.446875,-0.054145,0.89375,-0.040625,0.975,0.446875,-0.284375,0.4952475,-0.88044,-0.1650825,0.07329663,-0.3851925,0.22011,0.110055,1.2656325,0.1650825,0
7,0.504,0.960192,0.864,-0.672192,0.480096,0.54,0.288,0.468,0.191808,-0.239904,0.365625,1.95,0.4875,1.096875,0,0.040625,0.609375,0.609375,-0.24375,0,0.8254125,0.44022,1.0455225,-0.03653826,0.110055,0.1650825,0.4952475,0.88044,0.0550275,0.22011
8,0.936,0.959904,0.864,0.480096,0.624096,0.648,0.959904,0.828,0.528192,0.527904,-0.325,0.528125,1.3,0.853125,0.866645,0.8125,0.771875,0.89375,1.340625,0.325,0.110055,0.2751375,1.7058525,-0.07351674,-0.1650825,-0.44022,0.110055,2.2011,0.550275,0.4952475
9,0.144,1.152,0.72,0.288,0.527904,-0.252,0.576,0.108,0.432,0.384192,-1.259375,1.178125,0.5958225,1.21875,0.8666775,0.4875,0.609375,0.934375,1.1375,0.528125,0.88044,0.6053025,1.32066,0.03675837,0.330165,1.0455225,0.110055,1.2656325,0.4952475,0.330165
10,0.432,1.344096,1.368,0.383904,0.383904,1.476,0.864,0.828,1.008,0.623808,0.203125,1.05625,0.4875,1.38125,1.4625,0.446875,-0.08125,-0.325,1.1375,1.05625,0.44022,1.10055,0.9354675,0.40346163,-0.1650825,0.4952475,-0.44022,1.1555775,0.7153575,-0.22011
11,0.792,1.055808,0.936,0.72,-0.191808,0.756,0.480096,0.576,0.911808,0.432,1.178125,0.771875,0.3791775,0.8125,2.3291775,0.284375,0.08125,0.771875,0.853125,0.40625,1.0455225,0.88044,0.88044,0.29362674,-0.4952475,0.66033,0.770385,1.210605,0.7153575,0.2751375
12,0.576,1.536192,0.576,0.72,-0.144,0.828,0.767808,1.224,0.960192,0.624096,-0.325,0.040625,-1.2729275,1.340625,0.4333225,0.853125,0.325,0.853125,-0.284375,0.65,0.88044,1.3756875,0.550275,0.40346163,0.330165,1.1555775,-0.22011,0.8254125,2.1460725,0.9354675
13,1.224,0,0.072,0.624096,0.671904,0.504,0.384192,-0.324,0.576,0.480096,0.528125,1.54375,0.8125,1.05625,1.7333225,0.65,-0.365625,0.853125,1.54375,0,1.10055,1.1555775,0.4952475,0.03675837,0.330165,-0.1650825,0.0550275,0.110055,0.6053025,0.550275
14,0.504,0.383904,-0.504,0.048096,0.095904,0.612,0.576,0.288,-0.480096,0.72,0.4875,1.421875,0.89375,0.934375,0.1625,0,0.203125,0.40625,1.259375,0.121875,0.8254125,1.430715,0.6053025,0.14659326,0.66033,1.0455225,0.0550275,2.0360175,0.8254125,0.66033
15,0.36,0.288,0,0.479808,0.72,1.08,0.527904,1.26,0.576,1.008,-0.040625,0.4875,0.203125,2.234375,1.245855,0.528125,0.8125,0.1625,0.975,0.203125,1.10055,0.8254125,-0.3851925,0,-0.66033,0.110055,0.7153575,1.2656325,0.9354675,0.3851925
16,0.216,0.671904,0.072,0,0.432,0.396,0.671904,0.54,0.239904,0.144,0.446875,0.975,0.56875,0.853125,0.9208225,0.24375,0.284375,0.528125,0.040625,0.853125,0.550275,0.88044,-1.1555775,-0.29340663,0.88044,1.2656325,0.66033,0.550275,-0.4952475,0.4952475
17,0.432,0,0,0.288,0.528192,0.18,0.768096,1.512,0.288,0.576,0.8125,0.8125,0.690625,0.934375,1.1375,0.325,0.8125,0.121875,0.8125,0.325,0.7153575,1.3756875,0.110055,0.66033,1.210605,0.6053025,0.6053025,1.2656325,0.4952475,1.0455225
18,-0.072,-0.095904,-0.288,0.624096,0.144,-0.288,0.432,0.54,0.624096,0.959904,1.178125,1.340625,0.609375,0.56875,0.1625,0.89375,-0.1625,-1.096875,0.203125,-0.08125,1.32066,1.32066,-0.770385,-0.22011,1.430715,0.990495,0.550275,3.08154,1.2656325,1.1555775
19,0,-0.095904,-0.36,0.527904,0.191808,0.828,0.768096,0.54,0.912096,0.624096,-0.325,0.65,0.325,0.24375,0.9208225,-0.690625,0.284375,-0.365625,0,1.259375,0.2751375,0.22011,0.330165,0.73362663,1.10055,0.1650825,0.22011,1.76088,-1.1555775,0.88044
20,0,0.576,-0.144,0.576,0.336096,-0.972,0.959904,0.756,-0.096192,0.576,0.690625,0.284375,1.38125,0.771875,2.8166775,0.73125,1.096875,-0.040625,-0.121875,0.89375,1.10055,2.42121,0.550275,0.73384674,0.66033,0.6053025,0.4952475,1.5957975,0.770385,1.210605
21,0.504,0.383904,-0.36,1.056096,0.048096,0.504,0.624096,1.08,0.192096,0.432,1.096875,-1.1375,-0.08125,0.121875,-0.0541775,0.284375,0.446875,-0.40625,0.446875,1.015625,0.88044,0.88044,0.3851925,1.72412163,-0.44022,0.7153575,0.22011,2.3661825,0.22011,0.3851925
22,-0.288,0.095904,-0.288,0.527904,0.288,0.72,0.72,0.612,0.144,0.767808,0.040625,1.3,1.340625,0.325,0.758355,0.934375,1.21875,0.325,2.153125,0.121875,2.42121,0.990495,0.550275,0.69708837,0.88044,0.9354675,0.6053025,1.10055,0.550275,0.3851925
23,0,0.288,0,0.624096,0.479808,1.62,0.191808,-0.756,-0.048096,0.768096,0.8125,0.56875,0.4875,0.934375,1.5708225,0.73125,0,0.446875,0.56875,0.1625,1.0455225,1.1555775,1.430715,0.80692326,0.88044,0.8254125,0.330165,0.66033,0.8254125,0.44022
