Condition,Angle
100% Matrigel,208.61
100% Matrigel,200.136
100% Matrigel,202.479
100% Matrigel,341.565
100% Matrigel,242.241
100% Matrigel,229.399
100% Matrigel,271.736
100% Matrigel,226.637
100% Matrigel,203.199
100% Matrigel,160.769
100% Matrigel,176.906
100% Matrigel,226.219
100% Matrigel,223.531
100% Matrigel,213.111
100% Matrigel,197.879
100% Matrigel,180
100% Matrigel,167.593
100% Matrigel,150.255
100% Matrigel,167.905
100% Matrigel,128.29
100% Matrigel,116.565
100% Matrigel,144.462
100% Matrigel,170.538
100% Matrigel,327.265
100% Matrigel,338.962
100% Matrigel,176.583
100% Matrigel,319.635
100% Matrigel,267.51
100% Matrigel,270
100% Matrigel,174.806
100% Matrigel,183.013
100% Matrigel,220.314
100% Matrigel,207.216
100% Matrigel,286.557
100% Matrigel,85.764
100% Matrigel,122.735
100% Matrigel,284.931
100% Matrigel,270
100% Matrigel,320.194
100% Matrigel,264.289
100% Matrigel,250.641
100% Matrigel,18.435
100% Matrigel,23.199
100% Matrigel,92.603
100% Matrigel,37.569
100% Matrigel,336.571
100% Matrigel,339.905
100% Matrigel,50.711
100% Matrigel,65.556
100% Matrigel,360
100% Matrigel,108.435
100% Matrigel,107.526
100% Matrigel,212.005
100% Matrigel,329.036
100% Matrigel,328.392
100% Matrigel,333.435
100% Matrigel,268.363
100% Matrigel,280.305
100% Matrigel,3.013
100% Matrigel,32.471
